Dates;PX_LAST
01/01/2020;0.171192
02/01/2020;0.164767
03/01/2020;0.173004
04/01/2020;0.160619
05/01/2020;0.147412
06/01/2020;0.139852
07/01/2020;0.123483
08/01/2020;0.110092
09/01/2020;0.115721
10/01/2020;0.132894
11/01/2020;0.127944
12/01/2020;0.143313
13/01/2020;0.141277
14/01/2020;0.131866
15/01/2020;0.134395
16/01/2020;0.141117
17/01/2020;0.140965
18/01/2020;0.121661
19/01/2020;0.138183
20/01/2020;0.12613
21/01/2020;0.113086
22/01/2020;0.108535
23/01/2020;0.096423
24/01/2020;0.070368
25/01/2020;0.08015
26/01/2020;0.090978
27/01/2020;0.093539
28/01/2020;0.093781
29/01/2020;0.085066
30/01/2020;0.072603
31/01/2020;0.059505
01/02/2020;0.040979
02/02/2020;0.045357
03/02/2020;0.024749
04/02/2020;0.005274
05/02/2020;0.029517
06/02/2020;0.027241
07/02/2020;0.010555
08/02/2020;0.018032
09/02/2020;0.035036
10/02/2020;0.038804
11/02/2020;0.043026
12/02/2020;0.036397
13/02/2020;0.045833
14/02/2020;0.041724
15/02/2020;0.04145
16/02/2020;0.040373
17/02/2020;0.042013
18/02/2020;0.027337
19/02/2020;0.021766
20/02/2020;0.002012
21/02/2020;-0.016365
22/02/2020;-0.019443
23/02/2020;-0.017882
24/02/2020;-0.00777
25/02/2020;-0.019012
26/02/2020;-0.012227
27/02/2020;-0.026641
28/02/2020;-0.081875
29/02/2020;-0.122675
01/03/2020;-0.165324
02/03/2020;-0.173392
03/03/2020;-0.203935
04/03/2020;-0.242382
05/03/2020;-0.233473
06/03/2020;-0.248289
07/03/2020;-0.261686
08/03/2020;-0.239893
09/03/2020;-0.261582
10/03/2020;-0.29747
11/03/2020;-0.305345
12/03/2020;-0.331229
13/03/2020;-0.355508
14/03/2020;-0.363316
15/03/2020;-0.374704
16/03/2020;-0.385997
17/03/2020;-0.413222
18/03/2020;-0.420912
19/03/2020;-0.43602
20/03/2020;-0.456217
21/03/2020;-0.472335
22/03/2020;-0.494347
23/03/2020;-0.508737
24/03/2020;-0.523225
25/03/2020;-0.518169
26/03/2020;-0.524122
27/03/2020;-0.541602
28/03/2020;-0.54536
29/03/2020;-0.549488
30/03/2020;-0.562308
31/03/2020;-0.560062
01/04/2020;-0.569908
02/04/2020;-0.579604
03/04/2020;-0.59603
04/04/2020;-0.622394
05/04/2020;-0.614859
06/04/2020;-0.613344
07/04/2020;-0.611269
08/04/2020;-0.602776
09/04/2020;-0.610277
10/04/2020;-0.610268
11/04/2020;-0.593306
12/04/2020;-0.588934
13/04/2020;-0.578321
14/04/2020;-0.565702
15/04/2020;-0.582655
16/04/2020;-0.588474
17/04/2020;-0.593609
18/04/2020;-0.590215
19/04/2020;-0.607825
20/04/2020;-0.621871
21/04/2020;-0.623686
22/04/2020;-0.625927
23/04/2020;-0.631642
24/04/2020;-0.653969
25/04/2020;-0.64792
26/04/2020;-0.642042
27/04/2020;-0.641909
28/04/2020;-0.627599
29/04/2020;-0.618574
30/04/2020;-0.610842
01/05/2020;-0.617015
02/05/2020;-0.612421
03/05/2020;-0.624495
04/05/2020;-0.624849
05/05/2020;-0.616331
06/05/2020;-0.613536
07/05/2020;-0.629653
08/05/2020;-0.645739
09/05/2020;-0.650452
10/05/2020;-0.665801
11/05/2020;-0.656423
12/05/2020;-0.663979
13/05/2020;-0.653224
14/05/2020;-0.653393
15/05/2020;-0.671812
16/05/2020;-0.670281
